Discrete,Investors,Team,Community Rewards,Ecosystem Development,TOTAL,,Cumulative,Investors,Team,Community Rewards,Ecosystem Development,TOTAL,INCREMENTAL
Month 51,0.00,0.00,0.00,0.00,0.00,,Month 51,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 52,0.00,0.00,0.00,0.00,0.00,,Month 52,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 53,0.00,0.00,0.00,0.00,0.00,,Month 53,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 54,0.00,0.00,0.00,0.00,0.00,,Month 54,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 55,0.00,0.00,0.00,0.00,0.00,,Month 55,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 56,0.00,0.00,0.00,0.00,0.00,,Month 56,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 57,0.00,0.00,0.00,0.00,0.00,,Month 57,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 58,0.00,0.00,0.00,0.00,0.00,,Month 58,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 59,0.00,0.00,0.00,0.00,0.00,,Month 59,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 60,0.00,0.00,0.00,0.00,0.00,,Month 60,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
TOTAL,"1,295,350,000.08","1,122,104,724.99","1,400,000,000.00","1,182,545,275.20","5,000,000,000.27",,TOTAL,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
