,,,,,,,,,,,,,
CONFIDENTIAL DRAFT - FOR DISCUSSION PURPOSES ONLY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Genesis I (BVI),0xf3342d2740622B001558AC632A4FE3383772EEEd,,,,,,,,,
,,,Genesis II (Fdn),0xC511541a041616F15E129C064E6bBCDb5cBA14d6,,,,,,,,,
,,,Grayscale,0xce1eF60a9A4829D4EF5542D34f9ea7b95ce0C833,,,,,TRUE,,,,
,,,Toku multisig (x2B),0x9e2d915F6c10bD33F8b5f2eE155c9F76c2486E9B,,,,,Unique 102,,,,
,Indiv 113,,,,,100.0000%,"5,000,000,000",5.00E+27,Indiv 113,,26,18,17
,Segment,Wallet ID,Delivery Status,TGE Destination,Final Destination,%,SXT, attoSXT,TGE Address,Etherscan Link,ethBalance,sxtBalance,
,Team,Alaska,Delivered,Anchorage,Anchorage,0.0599%,"2,993,723",2.99E+24,0x14ab322bd6e48eF5FEBC7Bc92ec8a7bEa59Aae35,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Hot Springs,Delivered,Anchorage,Anchorage,0.0599%,"2,993,723",2.99E+24,0x1a08878fbAAFFD554d69CABaE9627686BCA6d95E,View on Etherscan,Error: NOTOK,Error: NOTOK,FALSE
,Team,Biscayne,Delivered,Anchorage,Anchorage,0.0599%,"2,993,723",2.99E+24,0xC9e2E0453e15F9Bb5C8223ca774Eeeb726670014,View on Etherscan,Loading...,Loading...,Loading...
,Team,Yosemite,Delivered,Anchorage,Anchorage,0.1140%,"5,698,265",5.70E+24,0x95038F359c6A00E765aD7616DC9114BFCc4C26EB,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Mesa Verde,Delivered,Anchorage,Anchorage,0.1238%,"6,187,500",6.19E+24,0x928A5B4860092326a45887D557FF3Aac1236B867,View on Etherscan,Loading...,Loading...,Loading...
,Team,Olympic,Delivered,Anchorage,Anchorage,0.1252%,"6,262,350",6.26E+24,0x9d23fF2c861d40B3a7e3D3747dE1056e39f139CA,View on Etherscan,Error: NOTOK,Error: NOTOK,FALSE
,Team,Washington,Delivered,Anchorage,Anchorage,0.1271%,"6,356,985",6.36E+24,0x512cd1024139aB4F5C5A4418ef6282Fd94a55457,View on Etherscan,Loading...,Loading...,Loading...
,Team,Ohio,Delivered,Anchorage,Anchorage,0.1305%,"6,523,201",6.52E+24,0x7846abd4AD7214E0522D0CB5816BedEd81efA597,View on Etherscan,Loading...,Loading...,Loading...
,Team,Bryce Canyon,Delivered,Anchorage,Anchorage,0.1479%,"7,394,166",7.39E+24,0x9B86599E57e9f16446b535681CE6FC58BF6960da,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Indiana,Delivered,Anchorage,Anchorage,0.1487%,"7,434,167",7.43E+24,0xF37d8A85847675a919723e4904E35716991f1a76,View on Etherscan,Loading...,Loading...,Loading...
,Team,Lake Clark,Delivered,Anchorage,Anchorage,0.1639%,"8,195,833",8.20E+24,0xd4F4A61CDDdAe29Dfe2C9d37B03E634a61018BbA,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,White Sands,Delivered,Anchorage,Anchorage,0.1695%,"8,473,011",8.47E+24,0x4BF503F26Ee10Db8c3531fde7B86215B7Da56fc5,View on Etherscan,Loading...,Loading...,Loading...
,Team,South Carolina,Delivered,Anchorage,Anchorage,0.1710%,"8,548,702",8.55E+24,0x20E78d2a2587B7367750E0242C52501dA1737123,View on Etherscan,Loading...,Loading...,Loading...
,Team,Great Dunes,Delivered,Anchorage,Anchorage,0.1731%,"8,655,787",8.66E+24,0x659B82Ba8985091cd81Fb418374F0a6f7180135a,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Big Bend,Delivered,Anchorage,Anchorage,0.1912%,"9,561,333",9.56E+24,0xAc66253689d2F7c9b2322B49752E462a865082e9,View on Etherscan,Loading...,Loading...,Loading...
